commonname,scientificname,areaname,LME,MSE / OMP built?,MSE built citation,MSE operational in management?,Operational in management citation
Sand eel,Ammodytes spp,West of Scotland,24,unknown,NA,No,NA
Sardine,Sardina pilchardus,ICES 7,24,unknown,NA,No,NA
Sprat,Sprattus sprattus,ICES 7de,24,unknown,NA,No,NA
Anchovy,Engraulis encrasicolus,Aegean Sea,26,unknown,NA,No,NA
Anchovy,Engraulis encrasicolus,Eastern Ionian Sea,26,unknown,NA,No,NA
European pilchard,Sardina pilchardus,Aegean Sea,26,No,NA,No,NA
European pilchard,Sardina pilchardus,Eastern Ionian Sea,26,No,NA,No,NA
Capelin,Mallotus villosus,ICES 2a-5-14,22,No,NA,No,NA
Greater silver smelt,Argentina silus,ICES 5a-14,22,No,NA,No,NA
Herring,Clupea harengus,Iceland (Summer spawners),22,Yes,ICES 2017 (http://www.ices.dk/sites/pub/Publication%20Reports/Expert%20Group%20Report/acom/2017/WKICEMSE/wkicemse_2017.pdf),Yes,Yes
Anchovy kilka,Clupeonella engrauliformis,Iranian Caspian Sea,NA,unknown,NA,No,NA
Greater silver smelt,Argentina silus,ICES 6b-7-8-9-10-12,22,No,NA,No,NA
Herring,Clupea harengus,ICES 7a-g-h-j,24,No,NA,No,NA
Anchovy,Engraulis encrasicolus,"Adriatic Sea (GSA 17,18)",26,unknown,FAO (2019),No,NA
Anchovy,Engraulis encrasicolus,Ligurian and North Tyrrhenian Sea,26,unknown,NA,No,NA
Anchovy,Engraulis encrasicolus,South of Sicily,26,unknown,NA,No,NA
Anchovy,Engraulis encrasicolus,Western Ionian Sea,26,unknown,NA,No,NA
European pilchard,Sardina pilchardus,Ligurian and North Tyrrhenian Sea,26,No,NA,No,NA
Sardine,Sardina pilchardus,"Adriatic Sea (GSA 17,18)",26,Yes,http://www.fao.org/gfcm/technical-meetings/detail/en/c/1198582/,No,NA
Sardine,Sardina pilchardus,South of Sicily,26,No,NA,No,NA
Amberstripe scad,Decapterus muroadsi,East China Sea,47,No,NA,No,NA
Chub mackerel,Scomber japonicus,Pacific Coast of Japan,49,No,NA,No,NA
Chub mackerel,Scomber japonicus,Tsushima Strait,50,No,NA,No,NA
Deep sea smelt,Glossanodon semifasciatus,Pacific Ocean,49,No,NA,No,NA
Deep sea smelt,Glossanodon semifasciatus,Sea of Japan,49,No,NA,No,NA
Japanese anchovy,Engraulis japonicus,Inland Sea of Japan,49,No,NA,No,NA
Japanese anchovy,Engraulis japonicus,Pacific Coast of Japan,49,No,NA,No,NA
Japanese anchovy,Engraulis japonicus,Tsushima Strait,50,No,NA,No,NA
Japanese jack mackerel,Trachurus japonicus,Pacific Coast of Japan,49,in progress,National Research Institute of Fisheries Science (2020) Research Institute Meeting Report on Biological Reference Points for the Pacific Population Stock of Jack Mackerel (Trachurus japonicus) in FY2020,No,NA
Japanese jack mackerel,Trachurus japonicus,Tsushima Strait,50,No,NA,No,NA
Japanese sardine,Sardinops melanostictus,Pacific Coast of Japan,49,in progress,National Research Institute of Fisheries Science (2020) Research Institute Meeting Report on Biological Reference Points for the Pacific Population Stock of Japanese Sardine (Sardinops melanostictus) in FY2020,No,NA
Japanese sardine,Sardinops melanostictus,Tsushima Strait,50,in progress,Seikai National Fisheries Research Institute (2020) Research Institute Meeting Report on Biological Reference Points for the Tsushima Warm Current Population Stock of Japanese Sardine (Sardinops melanostictus) in FY2020,No,NA
Pacific herring,Clupea pallasii,Hokkaido,51,No,NA,No,NA
Pacific sand lance,Ammodytes hexapterus,Souya Strait,50,No,NA,No,NA
Pacific sandlance,Ammodytes personatus,Ise and Mikawa Bay,49,No,NA,No,NA
Pacific saury,Cololabis saira,Northwest Pacific,51,No,NA,No,NA
Round herring,Etrumeus teres,Pacific Ocean,49,No,NA,No,NA
Round herring,Etrumeus teres,Tsushima Strait,50,No,NA,No,NA
Spotted mackerel,Scomber australasicus,East China Sea,47,in progress,National Research Institute of Fisheries Science (2019) Research Institute Meeting Report on Biological Reference Points for the East China Sea Population Stock of Spotted Mackerel (Scomber australasicus) in FY2019,No,NA
Spotted mackerel,Scomber australasicus,Pacific Coast of Japan,49,in progress,National Research Institute of Fisheries Science (2019) Research Institute Meeting Report on Biological Reference Points for the Pacific Population Stock of Spotted Mackerel (Scomber australasicus) in FY2019,No,NA
Anchovy,Engraulis encrasicolus,West Africa,27,unknown,NA,No,NA
Cunene horse mackerel,Trachurus trecae,West Africa,27,No,NA,No,NA
False scad,Caranx rhonchus,West Africa,27,unknown,NA,No,NA
Chub mackerel,Scomber japonicus,West Africa,27,No,NA,No,NA
Horse mackerel,Trachurus trachurus,West Africa,27,No,NA,No,NA
Sardine,Sardina pilchardus,West Africa Zone A+B,27,No,NA,No,NA
Sardine,Sardina pilchardus,West Africa Zone C,27,No,NA,No,NA
Anchovy,Engraulis capensis,Namibia,29,No,NA,No,NA
Round herring,Etrumeus whiteheadi,Namibia,29,No,NA,No,NA
Sardine,Sardinops sagax,Namibia,29,No,NA,No,NA
Horse mackerel,Trachurus trachurus,ICES 2a-4a-5b-6a-7-8,22,Yes,ICES. 2021. Workshop for the review of the assessment of a new rebuilding plan for Western Horse Mackerel (WKWHMRP). ICES Scientific Reports. 3:37. 232 pp. http://doi.org/10.17895/ices.pub.8023,No,NA
Horse mackerel,Trachurus trachurus,ICES 3a-4bc-7d,22,No,NA,No,NA
