Common name,Species,Stock ,LME,Location (based on SPACC designated regions),MSE / OMP built?,AEP,MSE built citation,MSE operational in management?,Operational in management citation,Covered in ICES/PICES discussion?,Notes,Justification,,,,,,,,,,,,,,,,
Atlantic herring,Clupea harengus,"Norwegian spring spawning (Northeast Atlantic and Arctic Ocean), divisions 4.a and 14.a",22,Northeast Atlantic,Yes,,http://www.ices.dk/sites/pub/Publication%20Reports/Expert%20Group%20Report/acom/2013/WKBWNSSH/WKBWNSSH%202013.pdf AND http://www.ices.dk/sites/pub/Publication%20Reports/Expert%20Group%20Report/acom/2018/WKNSSHMSE/WKNSSHMSE%20Report%202018.pdf,Yes,,Yes,from ICES MSE WKG 2019 (http://www.ices.dk/sites/pub/Publication%20Reports/Expert%20Group%20Report/Fisheries%20Resources%20Steering%20Group/2019/WKGMSE2/WKGMSE2%202019.pdf),,,,,,,,,,,,,,,,,
Herring,Clupea harengus,"Herring (Clupea harengus) in subareas 1, 2, and 5",22,Northeast Atlantic,Yes,,ICES 2018 (http://www.ices.dk/sites/pub/Publication%20Reports/Expert%20Group%20Report/acom/2018/WKNSSHMSE/WKNSSHMSE%20Report%202018.pdf),Yes,,Not sure,from ICES MSE WKG 2019 (http://www.ices.dk/sites/pub/Publication%20Reports/Expert%20Group%20Report/Fisheries%20Resources%20Steering%20Group/2019/WKGMSE2/WKGMSE2%202019.pdf),,Definitely the MSE-evalauted long-term managemetn strategy is used. See the latest advice sheet and references therein: http://ices.dk/sites/pub/Publication%20Reports/Advice/2019/2019/her.27.1-24a514a.pdf,,,,,,,,,,,,,,,
Antarctic krill,Euphausia superba,Antarctic,61,Antarctic,Yes,,"Plaganyi, E.E., Butterworth, D.S., 2012. The Scotia Sea krill fishery and its possible impacts on dependent predators: modeling localized depletion of prey. Ecological Applications 22, 748–761.",Not sure,,No,from WoS search,,,,,,,,,,,,,,,,,
Atlantic herring,Clupea harengus,Northwest Atlantic,7,Northwest Atlantic,Yes,,"Deroba, J.J., Gaichas, S.K., Lee, M.-Y., Feeney, R.G., Boelke, D.V., Irwin, B.J., 2018. The dream and the reality: meeting decision-making time frames while incorporating ecosystem and economic models into management strategy evaluation. Can. J. Fish. Aquat. Sci. https://doi.org/10.1139/cjfas-2018-0128",Not sure,,Yes,from WoS search,,,,,,,,,,,,,,,,,
Pacific herring,Clupea pallasii,British Columbia,2,Northeast Pacific,Yes,,"Cleary, J.S., Cox, S.P., Schweigert, J.F., 2010. Performance evaluation of harvest control rules for Pacific herring management in British Columbia, Canada. Ices Journal of Marine Science 67, 2005–2011. https://doi.org/10.1093/icesjms/fsq129",Not sure,,Yes,from WoS search,,,,,,,,,,,,,,,,,
Pacific herring,Clupea pallasii,British Columbia,2,Northeast Pacific,Yes,,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0196307,Not sure,,,,,,,,,,,,,,,,,,,,
Blue whiting,Micromesistius poutassou ,North Sea - stock key whb.27.1-91214,22,Northeast Atlantic,Yes,,ICES 2016 (http://ices.dk/sites/pub/Publication%20Reports/Expert%20Group%20Report/acom/2016/WKBWMS/WKBWMS%20report%202016.pdf),Yes,,Not sure,from ICES MSE WKG 2019 (http://www.ices.dk/sites/pub/Publication%20Reports/Expert%20Group%20Report/Fisheries%20Resources%20Steering%20Group/2019/WKGMSE2/WKGMSE2%202019.pdf),"The ICES stock is defined as; Blue whiting (Micromesistius poutassou) in subareas 1–9, 12, and 14 (Northeast Atlantic and adjacent waters) ",,,,,,,,,,,,,,,,
Horse mackerel,Trachurus trachurus,Western stock  - stock key hom.27.2a4a5b6a7a- ce-k8,22,Northeast Atlantic,Yes,,"ICES. 2013. Report of the Workshop to evaluate the EU management plan for Western horse mackerel (WKWHMAC), 18–19 June 2013, ICES Headquarters, Copenhagen. ICES CM 2013/ACOM:59.",No,"It's a no for this one, according to the latest advice sheet (http://ices.dk/sites/pub/Publication%20Reports/Advice/2019/2019/hom.27.2a4a5b6a7a-ce-k8.pdf).
That said, there have been past MSE evaluations of HCRs for this stock, and an MSE-evaluated management plan (found to be precautionary only in the short-term) was used to provide advice for the years 2008-2010 (potentially also 2011), although the management plan continued to be a management option, at least until 2013.",Not sure,from ICES MSE WKG 2019 (http://www.ices.dk/sites/pub/Publication%20Reports/Expert%20Group%20Report/Fisheries%20Resources%20Steering%20Group/2019/WKGMSE2/WKGMSE2%202019.pdf),"The ICES stock is defined as: Horse mackerel (Trachurus trachurus) in Subarea 8 and divisions 2.a, 4.a, 5.b, 6.a, 7.a–c, and 7.e–k (the Northeast Atlantic) ",,,,,,,,,,,,,,,,
Horse mackerel,Trachurus trachurus,North Sea stock - stock key hom.27.3a4bc7d,22,Northeast Atlantic,Yes,,ICES 2014 (http://www.ices.dk/sites/pub/Publication%20Reports/Expert%20Group%20Report/acom/2014/WKHOMMP/02%20Coers%20and%20Miller%20report.pdf),No,"There is no management strategy used for North Sea horse mackerel (see latest advice sheet, e.g. Table 3, and references therein: http://ices.dk/sites/pub/Publication%20Reports/Advice/2019/2019/hom.27.3a4bc7d.pdf). Note, there was an evaluation of possible management strategies back in 2014, but none were found to be precautionary (see advice sheet).",Not sure,from ICES MSE WKG 2019 (http://www.ices.dk/sites/pub/Publication%20Reports/Expert%20Group%20Report/Fisheries%20Resources%20Steering%20Group/2019/WKGMSE2/WKGMSE2%202019.pdf),"The ICES stock is defined as: Horse mackerel (Trachurus trachurus) in divisions 3.a, 4.b–c, and 7.d (Skagerrak and Kattegat, southern and central North Sea, eastern English Channel)",,,,,,,,,,,,,,,,
Capelin,Mallotus villosus,Barents Sea - stock key cap.27.1-2,64,Arctic,Yes,,ICES 2016 (http://www.ices.dk/sites/pub/Publication%20Reports/Expert%20Group%20Report/acom/2016/WKNEAMP/02_WKNEAMP2%20Report%202016.doc.pdf),Yes,Agreed. The confirmation is in the latest advice sheet (Table 4) and references therein (http://ices.dk/sites/pub/Publication%20Reports/Advice/2019/2019/cap.27.1-2.pdf),Not sure,from ICES MSE WKG 2019 (http://www.ices.dk/sites/pub/Publication%20Reports/Expert%20Group%20Report/Fisheries%20Resources%20Steering%20Group/2019/WKGMSE2/WKGMSE2%202019.pdf),"The ICES stock definition is: Capelin (Mallotus villosus) in subareas 1 and 2 (Northeast Arctic), excluding Division 2.a west of 5°W (Barents Sea capelin)",,,,,,,,,,,,,,,,
